menu_name,calories,protein_g,fat_g,carbs_g
たまかけ朝食大盛,712,21,10.4,135.4
納豆たまかけ朝食ミニ,472,19.6,11,75.4
納豆たまかけ朝食並盛,610,22,11.4,106.6
納豆たまかけ朝食大盛,749,24.3,11.9,137.9
牛たまかけ朝食ミニ,545,21.8,17.6,76.6
牛たまかけ朝食並盛,683,24.2,18,107.8
牛たまかけ朝食大盛,822,26.5,18.5,139.1
焼鮭たまかけ朝食ミニ,588,30.2,20,73.6
焼鮭たまかけ朝食並盛,726,32.6,20.4,104.8
焼鮭たまかけ朝食大盛,865,34.9,20.9,136.1
塩さばたまかけ朝食ミニ,600,26,23.4,73
塩さばたまかけ朝食並盛,738,28.4,23.8,104.2
塩さばたまかけ朝食大盛,877,30.7,24.3,135.5
まぜのっけ朝食ミニ,413,15.1,8.2,70.5
まぜのっけ朝食並盛,551,17.5,8.6,101.7
まぜのっけ朝食大盛,690,19.8,9.1,133
牛まぜのっけ朝食ミニ,523,20.6,16.3,74.2
牛まぜのっけ朝食並盛,661,23,16.7,105.4
牛まぜのっけ朝食大盛,800,25.3,17.2,136.7
納豆まぜのっけ朝食ミニ,450,18.3,9.7,73
納豆まぜのっけ朝食並盛,588,20.7,10.1,104.2
納豆まぜのっけ朝食大盛,727,23,10.6,135.5
焼鮭まぜのっけ朝食ミニ,566,29,18.7,71.2
焼鮭まぜのっけ朝食並盛,704,31.4,19.1,102.4
焼鮭まぜのっけ朝食大盛,843,33.7,19.6,133.7
塩さばまぜのっけ朝食ミニ,578,24.8,22.1,70.6
塩さばまぜのっけ朝食並盛,716,27.2,22.5,101.8
塩さばまぜのっけ朝食大盛,855,29.5,23,133.1
自社製ベーコンエッグ朝食ミニ,568,21.6,21.6,73.6
自社製ベーコンエッグ朝食並盛,706,24,22,104.8
自社製ベーコンエッグ朝食大盛,845,26.3,22.5,136.1
納豆ベーコンエッグ朝食ミニ,605,24.8,23.1,76.1
納豆ベーコンエッグ朝食並盛,743,27.2,23.5,107.3
納豆ベーコンエッグ朝食大盛,882,29.5,24,138.6
